Species,AverageDepth_ft_,AverageDepth_m_,Mg_CaMmol_mol,expoConstant_A,preexpoConstant_B,T_est,lower_expoConstant_A,low_preexpoConstant_B,lower_T_est,higher_expoConstant_A,higher_preexpoConstant_B,higher_T_est,interval,baymag_species,SST_2p5,SST_16,SST_50,SST_84,SST_97p5,Rhat
Subbotina,688.55,209.872592050719,3.37770637043789,0.06,0.52,31.1853892988045,0.07,0.55,25.9290555896747,0.05,0.5,38.2068814216311,prePETM,all,26.929,30.2724,33.1354,36.39385,39.35,1.0001500960211
Subbotina,686.05,209.110582784687,3.32132203023,0.06,0.52,30.904822882504,0.07,0.55,25.6885700899885,0.05,0.5,37.8702017220704,prePETM,all,26.7105,29.70405,32.829,35.95995,39.0465,1.00001030520452
Subbotina,679.55,207.129358693002,3.77293722597061,0.06,0.52,33.0296711758966,0.07,0.55,27.5098686271822,0.05,0.5,40.4200196741416,prePETM,all,28.6686,31.62335,34.7789,37.9075,40.9723,0.999961123899426
Subbotina,675.3,205.833942940746,3.80168242018434,0.06,0.52,33.1561696385231,0.07,0.55,27.6182958808621,0.05,0.5,40.5718178292934,prePETM,all,28.6451,31.6223,34.8997,37.7705,41.1241,1.0002610814956
Subbotina,673.05,205.148134601317,3.15511358720585,0.06,0.52,30.0491827505953,0.07,0.55,24.9551642626382,0.05,0.5,36.84343356378,prePETM,all,25.9744,28.84685,32.1009,35.3623,38.2835,0.999925713304474
Subbotina,671.35,204.629968300415,3.47852709871862,0.06,0.52,31.6755904017316,0.07,0.55,26.3492279636122,0.05,0.5,38.7951227451435,prePETM,all,27.3133,30.3947,33.5489,36.7688,39.8535,0.999934534387201
Acarinina,689.05,210.024993903926,3.32952951737338,0.06,0.52,30.9459579223857,0.07,0.55,25.7238286956014,0.05,0.5,37.9195637699284,prePETM,all,26.7537,29.8112,32.8771,35.8831,39.098,1.00012027925677
Acarinina,686.05,209.110582784687,3.33728323938866,0.06,0.52,30.9847257004039,0.07,0.55,25.757058219617,0.05,0.5,37.9660851035503,prePETM,all,26.7629,29.97445,33.0061,36.08515,39.1383,1.00006216964088
Acarinina,679.55,207.129358693002,3.51496415665291,0.06,0.52,31.8492632560584,0.07,0.55,26.498090410178,0.05,0.5,39.0035301703357,prePETM,all,27.5016,30.56485,33.731,36.83285,39.9133,1.00014779911468
Acarinina,675.3,205.833942940746,3.92719600532461,0.06,0.52,33.6975358997717,0.07,0.55,28.0823241047894,0.05,0.5,41.2214573427916,prePETM,all,29.3167,32.15755,35.3895,38.42735,41.6003,0.999914475043677
Acarinina,673.05,205.148134601317,3.10214616402007,0.06,0.52,29.7670108389214,0.07,0.55,24.7133026240606,0.05,0.5,36.5048272697714,prePETM,all,25.7395,28.7708,31.8499,34.9761,38.0319,0.999982494082251
Acarinina,672.05,204.843330894904,3.60362432556304,0.06,0.52,32.2644427254921,0.07,0.55,26.8539585268354,0.05,0.5,39.5017455336561,prePETM,all,27.8537,31.11295,34.0824,37.2948,40.2692,1.00009141922095
Morozovella,684.3,208.577176298464,3.57945383315914,0.06,0.52,32.1522782601776,0.07,0.55,26.7578175565658,0.05,0.5,39.3671481752787,prePETM,all,27.9123,30.7989,34.0177,37.0422,40.2813,1.00017920297284
Morozovella,673.05,205.148134601317,3.43998697138814,0.06,0.52,31.4899025232939,0.07,0.55,26.1900669249512,0.05,0.5,38.5722972910182,prePETM,all,27.2546,30.3511,33.3492,36.38415,39.5692,0.999955486361771
Subbotina,663.05,202.100097537186,4.81715464394159,0.06,0.52,37.1018316387725,0.07,0.55,31.0002918810758,0.05,0.5,45.3066122295927,PETM,all,30.2353,33.4178,36.5279,39.6404,42.6776,0.999901389433649
Subbotina,659.8,201.109485491344,4.49456291223059,0.06,0.52,35.9465815323981,0.07,0.55,30.0100775041834,0.05,0.5,43.9203121019433,PETM,all,29.2363,32.21945,35.4615,38.5495,41.7539,1.00007396520596
Subbotina,655.8,199.890270665691,4.52679011590695,0.06,0.52,36.0656595342089,0.07,0.55,30.1121443628784,0.05,0.5,44.0632057041163,PETM,all,29.2958,32.3897,35.4915,38.6394,41.661,0.99995441218248
Subbotina,654.3,199.433065106072,4.63952062909654,0.06,0.52,36.4756252602165,0.07,0.55,30.4635435565993,0.05,0.5,44.5551645753255,PETM,all,29.7552,32.88815,35.9165,39.19135,42.1089,1.00002471641617
Subbotina,653.3,199.128261399659,4.24366142677953,0.06,0.52,34.9892151343775,0.07,0.55,29.1894777344516,0.05,0.5,42.7714724243187,PETM,all,28.3464,31.294,34.5708,37.7238,40.8535,1.00007728202329
Subbotina,652.3,198.823457693246,4.37449197864375,0.06,0.52,35.4952810217791,0.07,0.55,29.6232484950815,0.05,0.5,43.3787514892006,PETM,all,28.8017,31.97735,35.0578,38.2511,41.2172,0.999958146152932
Subbotina,645.55,196.766032674957,4.59368079324879,0.06,0.52,36.3101347642827,0.07,0.55,30.3216945600845,0.05,0.5,44.3565759802048,PETM,all,29.4445,32.55825,35.7466,39.11205,42.0687,0.9999648548423
Subbotina,631.75,192.559741526457,4.09371228995758,0.06,0.52,34.3896446025374,0.07,0.55,28.6755601357315,0.05,0.5,42.0519877861105,PETM,all,27.7444,30.88945,34.0402,37.2108,40.2796,1.00000158839546
Acarinina,663.55,202.252499390393,4.21742361136203,0.06,0.52,34.8858481729601,0.07,0.55,29.100877481808,0.05,0.5,42.6474320706177,PETM,all,28.3714,31.30435,34.5427,37.61565,40.7147,0.999938451473648
Acarinina,662.3,201.871494757376,4.549971685095,0.06,0.52,36.1507912882353,0.07,0.55,30.1851144377582,0.05,0.5,44.1653638089479,PETM,all,29.4094,32.443,35.6183,38.75935,41.9077,0.999904030492753
Acarinina,640.8,195.318215069495,4.26436498945524,0.06,0.52,35.0703291418196,0.07,0.55,29.2590040265448,0.05,0.5,42.8688092332492,PETM,all,28.2849,31.373,34.6364,37.71985,40.8995,1.00009590899324
Acarinina,639.05,194.784808583272,4.24571087923649,0.06,0.52,34.9972622644554,0.07,0.55,29.1963752745183,0.05,0.5,42.7811289804121,PETM,all,28.397,31.45675,34.594,37.5053,40.9366,1.00004371514133
Acarinina,637.05,194.175201170446,4.43718468026242,0.06,0.52,35.7324426952405,0.07,0.55,29.8265299294769,0.05,0.5,43.6633454973542,PETM,all,29.014,32.1354,35.235,38.4916,41.4998,1.00020649109587
Acarinina,632.55,192.803584491587,4.04068246408255,0.06,0.52,34.1723345311052,0.07,0.55,28.4892943602181,0.05,0.5,41.7912157003919,PETM,all,27.6527,30.38955,33.8454,36.97225,40.0618,1.00023947629609
Morozovella,663.55,202.252499390393,5.47999509259563,0.06,0.52,39.2505112142407,0.07,0.55,32.8420172314771,0.05,0.5,47.8850277201544,PETM,all,32.2753,35.366,38.417,41.62765,44.6488,1.00005515947087
Morozovella,663.05,202.100097537186,4.4371838096695,0.06,0.52,35.7324394251752,0.07,0.55,29.8265271265639,0.05,0.5,43.6633415732759,PETM,all,29.0114,32.168,35.173,38.40965,41.3941,1.00001178302767
Morozovella,662.3,201.871494757376,5.16696117670098,0.06,0.52,38.2701867163555,0.07,0.55,32.0017390904327,0.05,0.5,46.7086383226923,PETM,all,31.2332,34.6408,37.5168,40.79475,43.8091,1.00010655398169
Morozovella,656.15,199.996951962936,4.97785238565978,0.06,0.52,37.6487502928274,0.07,0.55,31.4690792988371,0.05,0.5,45.9629146144585,PETM,all,30.728,33.7975,37.0365,40.00645,43.3072,1.00002536479829
Morozovella,653.8,199.280663252865,5.04623074934568,0.06,0.52,37.8761340956807,0.07,0.55,31.6639797012828,0.05,0.5,46.2357751778824,PETM,all,30.9096,33.95605,37.1486,40.52285,43.4764,0.999981184725236
Morozovella,639.1,194.800048768593,5.0678031906316,0.06,0.52,37.9472315896104,0.07,0.55,31.7249204103654,0.05,0.5,46.3210921705981,PETM,all,31.0561,34.1026,37.2755,40.3443,43.6215,0.999975401946362
Subbotina,624.45,190.334674469642,3.80276117485422,0.06,0.52,33.1608982539423,0.07,0.55,27.6223489797927,0.05,0.5,40.5774921677963,postPETM,all,28.6686,31.857,34.9321,38.12735,41.1568,1.00000437573772
Subbotina,618.8,188.612533528408,3.34430466032453,0.06,0.52,31.0197544172591,0.07,0.55,25.7870828340643,0.05,0.5,38.0081195637766,postPETM,all,26.6741,29.82305,32.9466,36.0695,39.2228,1.0000166120739
Subbotina,615.65,187.652401853207,3.99819429417759,0.06,0.52,33.9961550024559,0.07,0.55,28.3382833356616,0.05,0.5,41.5798002660127,postPETM,all,29.4889,32.6436,35.6979,38.9945,41.9542,0.999994275595365
Subbotina,609.9,185.899780541331,3.62902502104679,0.06,0.52,32.3815081727261,0.07,0.55,26.9543003387503,0.05,0.5,39.6422240703369,postPETM,all,28.0236,31.1723,34.1922,37.47755,40.4103,0.999947210625197
